Timestamp Temperature Humidity(%)
2024-08-06 23:16:54 25.46 69.12
2024-08-06 23:16:55 25.45 69.18
2024-08-06 23:16:56 25.42 69.19
2024-08-06 23:16:57 25.44 69.19
2024-08-06 23:16:58 25.42 69.14
2024-08-06 23:16:59 25.39 69.10
2024-08-06 23:17:00 25.37 69.17
2024-08-06 23:17:01 25.37 69.17
2024-08-06 23:17:02 25.39 69.25
2024-08-06 23:17:03 25.39 69.25
2024-08-06 23:17:04 25.40 69.25
2024-08-06 23:17:06 25.40 69.26
2024-08-06 23:17:07 25.39 69.32
2024-08-06 23:17:08 25.39 69.39
2024-08-06 23:17:09 25.40 69.44
2024-08-06 23:17:10 25.41 69.51
2024-08-06 23:17:11 25.42 69.53
2024-08-06 23:17:12 25.43 69.56
2024-08-06 23:17:13 25.43 69.55
2024-08-06 23:17:14 25.42 69.74
2024-08-06 23:17:15 25.45 69.83
2024-08-06 23:17:16 25.46 69.88
2024-08-06 23:17:17 25.46 69.93
2024-08-06 23:17:18 25.47 69.99
2024-08-06 23:17:19 25.50 70.00
2024-08-06 23:17:20 25.50 70.04
2024-08-06 23:17:21 25.52 70.03
2024-08-06 23:17:22 25.51 70.01
2024-08-06 23:17:23 25.51 70.05
2024-08-06 23:17:24 25.52 70.05
2024-08-06 23:17:25 25.54 70.03
2024-08-06 23:17:26 25.54 70.00
2024-08-06 23:17:27 25.53 69.98
2024-08-06 23:17:28 25.52 69.82
2024-08-06 23:17:29 25.51 69.68
2024-08-06 23:17:30 25.46 69.53
2024-08-06 23:17:31 25.50 69.48
2024-08-06 23:17:32 25.51 69.38
2024-08-06 23:17:33 25.51 69.28
2024-08-06 23:17:34 25.50 69.28
2024-08-06 23:17:35 25.50 69.22
2024-08-06 23:17:36 25.51 69.23
2024-08-06 23:17:37 25.50 69.19
2024-08-06 23:17:38 25.48 69.19
2024-08-06 23:17:39 25.49 69.21
2024-08-06 23:17:40 25.48 69.26
2024-08-06 23:17:41 25.47 69.20
2024-08-06 23:17:42 25.46 69.13
2024-08-06 23:17:43 25.47 69.07
2024-08-06 23:17:44 25.45 68.98
2024-08-06 23:17:45 25.44 68.76
2024-08-06 23:17:46 25.45 68.70
2024-08-06 23:17:47 25.45 68.58
2024-08-06 23:17:48 25.46 68.59
2024-08-06 23:17:49 25.46 68.61
2024-08-06 23:17:50 25.46 68.65
